itemcode,division,revenue_type,status,jobcode,customer_segment,manufacturing_type,productID,typeOfSale,forecast_date,createDate,PODate,cost,qty
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT240243,Contractor,MTS,P1748,Sale,2024-10-18,2024-10-09,2024-10-09,21559.77,3.0
CT-F-99-020501,PEM102-OLD,Omni Channel,Actual,CT240039,Contractor,MTS,P2063,Sale,2024-10-10,2024-10-09,2024-10-09,6600.83,1.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Contractor,MTS,P3555,Sale,2024-10-10,2024-10-09,2024-10-09,8383.57,1.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-10-18,2024-10-10,2024-10-10,19003.97,1.0
VT-F-99-010615,PEM107,Tendering,Actual,VT240049,Local Utility,MTO,P51718,Sale,2025-01-10,2024-10-10,2024-10-10,136165.62,6.0
VT-F-99-010721,PEM107,Omni Channel,Actual,VT240189,Contractor,MTS,P45906,Sale,2025-01-10,2024-10-11,2024-10-11,19003.97,1.0
CT-F-99-020528,PEM107,Omni Channel,Actual,"CT240281,CT240319",Contractor,MTS,P45962,Sale,2025-01-10,2024-10-11,2024-10-11,42939.54,3.0
VT-F-99-010715,PEM102-OLD,Omni Channel,Actual,VT240124,Contractor,MTS,P15837,Sale,2024-11-08,2024-10-11,2024-10-11,37041.16,2.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT240243,Contractor,MTS,P1748,Sale,2024-11-08,2024-10-11,2024-10-11,21559.77,3.0
CT-F-99-020507,PEM102-OLD,Omni Channel,Actual,CT240214,Contractor,MTS,P1749,Sale,2024-11-08,2024-10-11,2024-10-11,21804.93,3.0
VT-F-99-010715,PEM102-OLD,Omni Channel,Actual,VT240124,Contractor,MTS,P15837,Sale,2024-11-08,2024-10-11,2024-10-11,18520.58,1.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT240243,Contractor,MTS,P1748,Sale,2024-11-08,2024-10-11,2024-10-11,21559.77,3.0
RS-F-99-100001,PEM102-OLD,Omni Channel,Actual,RS240329,Smart Shop,MTO,P5037,Sale,2024-11-01,2024-10-11,2024-10-11,38193.42,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-10-11,2024-10-11,2024-10-11,19003.97,1.0
CT-F-99-020704,PEM102-OLD,Omni Channel,Actual,CT240262,Contractor,MTS,P1769,Sale,2024-11-29,2024-10-11,2024-10-11,22815.24,3.0
VT-F-99-010819,PEM102-OLD,Omni Channel,Actual,VT240147,Contractor,MTS,P15865,Sale,2024-11-29,2024-10-11,2024-10-11,25065.65,1.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-11-08,2024-10-11,2024-10-11,19003.97,1.0
RS-F-99-070004,PEM102-OLD,Omni Channel,Actual,CTR-2024-05882,Contractor,MTS,P1794,Sale,2024-10-11,2024-10-11,2024-10-11,887.22,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,private company,MTS,P15311,Sale,2024-10-21,2024-10-11,2024-10-11,19003.97,1.0
CT-F-99-020503,PEM102-OLD,Omni Channel,Actual,CT240226,private company,MTS,P1745,Sale,2024-10-21,2024-10-11,2024-10-11,19960.14,3.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Smart Shop,MTS,P3555,Sale,2024-10-18,2024-10-15,2024-10-15,16767.14,2.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-10-31,2024-10-15,2024-10-15,19003.97,1.0
CT-F-99-020527,PEM102-OLD,Omni Channel,Actual,CT240230,Contractor,MTS,P15384,Sale,2024-10-24,2024-10-15,2024-10-15,39421.95,3.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Contractor,MTS,P3555,Sale,2024-10-21,2024-10-15,2024-10-15,16767.14,2.0
CT-F-99-020501,PEM102-OLD,Omni Channel,Actual,CT240039,Contractor,MTS,P15555,Sale,2024-10-21,2024-10-15,2024-10-15,13201.66,2.0
CT-F-99-020504,PPD101,Omni Channel,Actual,,Foreign Industry,MTO,P1746,Sale,2024-11-28,2024-10-15,2024-10-15,37880.0,4.0
CT-F-99-020506,PPD101,Omni Channel,Actual,,Foreign Industry,MTO,P1748,Sale,2024-11-28,2024-10-15,2024-10-15,38400.0,4.0
CT-F-99-020508,PPD101,Omni Channel,Actual,,Foreign Industry,MTO,P1750,Sale,2024-11-28,2024-10-15,2024-10-15,44800.0,4.0
RS-F-99-070006,PPD101,Omni Channel,Actual,,Foreign Industry,MTO,P1089,Sale,2024-11-28,2024-10-15,2024-10-15,76500.0,150.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Smart Shop,MTS,P3555,Sale,2024-10-18,2024-10-15,2024-10-15,16767.14,2.0
CT-F-99-020504,PEM102-OLD,Omni Channel,Actual,CT240213,Smart Shop,MTS,P1746,Sale,2024-10-18,2024-10-15,2024-10-15,14279.54,2.0
