itemcode,createDate,qty,n_rows,revenue_type,linked_via_jobcode,linked_via_olmjobcode,linked
CT-F-99-020530,2024-02-21,3.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-21,3.0,1,Omni Channel,True,True,True
CT-F-99-020510,2024-02-21,3.0,1,Omni Channel,True,True,True
CT-F-99-020703,2024-02-21,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-02-21,1.0,1,Omni Channel,True,True,True
CT-F-99-020526,2024-02-21,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-21,1.0,1,Omni Channel,True,True,True
CT-F-99-020530,2024-02-21,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-21,1.0,1,Omni Channel,True,True,True
VT-F-99-010722,2024-02-21,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-21,3.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-02-22,3.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-22,4.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-22,2.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-22,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-22,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-22,3.0,1,Omni Channel,True,True,True
VT-F-99-010715,2024-02-22,1.0,1,Omni Channel,True,True,True
CT-F-99-020730,2024-02-22,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-02-22,1.0,1,Omni Channel,True,True,True
CT-F-99-020526,2024-02-23,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-23,1.0,1,Omni Channel,True,True,True
CT-F-99-020511,2024-02-23,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-23,2.0,1,Omni Channel,True,True,True
VT-F-99-010302,2024-02-27,152.0,1,Tendering,True,True,True
CT-F-99-020503,2024-02-27,2.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-28,3.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-28,3.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-28,3.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-28,6.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-28,2.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-02-28,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-28,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-28,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-28,1.0,1,Omni Channel,True,True,True
CT-F-99-020524,2024-02-28,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-28,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-29,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020510,2024-02-29,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-29,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-29,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-29,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-02-29,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020503,2024-03-01,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-01,1.0,1,Omni Channel,True,True,True
CT-F-99-020718,2024-03-01,4.0,1,Omni Channel,True,True,True
VT-F-99-010303,2024-03-01,4.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-03-01,3.0,1,Omni Channel,True,True,True
VT-F-99-010715,2024-03-01,1.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-01,1.0,1,Omni Channel,True,True,True
CT-F-99-020527,2024-03-01,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-01,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-03-01,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-01,1.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-01,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-03-01,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-01,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-03-04,1.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-03-04,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-04,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-03-04,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-04,1.0,1,Omni Channel,True,True,True
CT-F-99-020525,2024-03-05,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-05,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-03-05,3.0,1,Omni Channel,False,False,False
CT-F-99-020505,2024-03-05,3.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-03-05,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-05,1.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-03-05,3.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-03-06,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-06,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-03-07,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-07,1.0,1,Omni Channel,True,True,True
CT-F-99-020502,2024-03-07,6.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-07,2.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-03-07,2.0,1,Omni Channel,True,True,True
CT-F-99-020503,2024-03-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-03-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-03-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020527,2024-03-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-03-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020704,2024-03-11,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-03-11,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-03-12,3.0,1,Omni Channel,True,True,True
CT-F-99-020527,2024-03-12,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-12,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-03-12,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-03-12,1.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-03-13,3.0,1,Omni Channel,True,True,True
